Author,Topic_Score,Weighted_Degree,Degree,Degree_Centrality,Betweenness_Centrality,Closeness_Centrality,Eigenvector_Centrality
United Kingdom,29.90641527908243,436.73470070382723,21,0.6774193548387096,0.11035568023234057,0.7225806451612904,0.302503495294152
Korea (ROK),5.750691631191854,71.76158784580113,11,0.3548387096774194,0.019431205522287113,0.5497896213183731,0.13286652344412814
Poland,3.973365046905731,21.509695476532325,4,0.12903225806451613,0.0,0.4360400444938821,0.04594397729024166
Australia,10.86853617471115,140.8176759369851,18,0.5806451612903225,0.10295432868487897,0.66553480475382,0.271717554975389
Belgium,0.4985707167607955,43.83188767946975,12,0.3870967741935484,0.004192973377034098,0.5497896213183731,0.21909574912118554
France,3.056613663314488,90.1749264007532,15,0.4838709677419355,0.010689692625176496,0.6168371361132966,0.26165768309216897
Japan,0.8692180341410356,6.900300488592434,11,0.3548387096774194,0.0,0.5380919698009609,0.21148634330488048
New Zealand,7.301672201358748,117.38319905847287,17,0.5483870967741935,0.051719056472377144,0.6484698097601324,0.26653935765187936
Norway,2.5611607882287264,74.40691223229432,14,0.45161290322580644,0.005169048394854845,0.6021505376344085,0.2511850438681432
Spain,6.847751575266791,103.77520020833181,16,0.5161290322580645,0.034010403118562516,0.632258064516129,0.26114272937388755
United States,8.60940239282407,69.52593257288066,13,0.4193548387096774,0.006926251764961442,0.5881470367591898,0.23923413995491927
SCAR,17.067888520720164,138.70595730657,16,0.5161290322580645,0.04359549228619437,0.632258064516129,0.26134551590383465
ASOC,2.646648344879143,25.032720770847455,14,0.45161290322580644,0.005169048394854845,0.6021505376344085,0.2511850438681432
IAATO,1.7122220505403467,17.27169671294614,13,0.4193548387096774,0.03333207378748176,0.5881470367591898,0.2221900578221043
COMNAP,2.3576332055050964,14.755134583458263,2,0.06451612903225806,0.0,0.3890818858560794,0.03642039816781642
Chile,4.799668420495346,62.6570335903163,9,0.29032258064516125,0.006488646289405302,0.5268817204301075,0.11251307491343687
Argentina,7.146823169929254,72.72891355595081,11,0.3548387096774194,0.015088483096073229,0.5497896213183731,0.1495107714748276
Portugal,0.7956673087627124,12.998452894993557,5,0.16129032258064516,0.0005376344086021505,0.4360400444938821,0.0749831891143334
Uruguay,4.376086785240655,56.733285128578174,9,0.29032258064516125,0.0070832888385070555,0.5268817204301075,0.0974394854652183
Germany,6.661399071473467,112.63099929559233,19,0.6129032258064516,0.09216070983623163,0.6835222319093287,0.2632710490005881
China,3.09497925799264,33.98797648451252,10,0.3225806451612903,0.014732113764371831,0.5058064516129033,0.09760761644363207
Canada,0.2550636133352617,7.232494746223484,4,0.12903225806451613,0.0,0.42864953526517224,0.05669137282452546
South Africa,1.6966254709092485,45.630734154788776,7,0.22580645161290322,0.003783922171018945,0.4598240469208211,0.10863576165921539
Russian Federation,3.4310639337356927,40.09306541241624,12,0.3870967741935484,0.03903155983801145,0.5380919698009609,0.11638918713989001
Finland,0.3639001583734674,17.9875656436037,8,0.25806451612903225,0.0,0.5268817204301075,0.15174267713883274
Monaco,0.3639001583734674,17.9875656436037,8,0.25806451612903225,0.0,0.5268817204301075,0.15174267713883274
Brazil,0.4033387269150862,14.93827579360353,7,0.22580645161290322,0.0,0.4598240469208211,0.07303228878053855
Türkiye,0.6042728684188421,1.6849388297705115,2,0.06451612903225806,0.002150537634408602,0.06451612903225806,3.2379867349679992e-15
Czechia,0.2371927256246039,0.4743854512492078,1,0.03225806451612903,0.0,0.04301075268817204,2.2896023776879737e-15
India,0.370284792823066,10.44909875661398,4,0.12903225806451613,0.0,0.45161290322580644,0.0395650592768498
Romania,0.370284792823066,10.44909875661398,4,0.12903225806451613,0.0,0.45161290322580644,0.0395650592768498
Ukraine,0.6062805101024615,1.2105533785213036,1,0.03225806451612903,0.0,0.04301075268817204,2.2896023776879737e-15
