Author,Topic_Score,Paper_Count,Weighted_Degree,Degree,Degree_Centrality,Betweenness_Centrality,Closeness_Centrality,Eigenvector_Centrality,Is_Isolated
Germany,2.5561843714111347,9,95.04839163318044,17,0.6071428571428571,0.019731040564373897,0.6666666666666666,0.26081709219615856,False
United States,11.368993758161697,40,192.07638353910866,16,0.5714285714285714,0.02356701940035273,0.6511627906976745,0.2522075991104046,False
Chile,4.588118604897141,18,113.95300411668734,17,0.6071428571428571,0.019731040564373897,0.6666666666666666,0.26081709219615856,False
New Zealand,18.74434949509875,61,240.51563139111036,17,0.6071428571428571,0.03899911816578482,0.6666666666666666,0.25558387982606756,False
Spain,5.140699169192708,17,99.20584734327736,10,0.3571428571428571,0.0615079365079365,0.5957446808510638,0.14355724322908095,False
United Kingdom,19.74224133916349,64,303.79909992510756,21,0.75,0.29839065255731917,0.8,0.2702993466770555,False
SCAR,6.509131722004139,23,129.51379392185976,15,0.5357142857142857,0.005731922398589066,0.6363636363636364,0.24671454240761162,False
Australia,8.951604828035443,27,169.6423487147274,18,0.6428571428571428,0.11126543209876542,0.6829268292682927,0.2565673439370264,False
Netherlands,3.0227682361531656,8,38.49225415614554,3,0.10714285714285714,0.0,0.49122807017543857,0.05311394542604699,False
Norway,5.439808279244,21,114.19943527651782,15,0.5357142857142857,0.0025793650793650793,0.6363636363636364,0.24886015714110593,False
ASOC,6.459729479060311,21,0.0,0,0.0,0.0,0.0,0.0,True
Czechia,1.1905853053497952,5,61.46385839622555,14,0.5,0.0,0.6222222222222222,0.23973465483871487,False
Belgium,4.021178700762705,12,102.01212651883007,16,0.5714285714285714,0.029541446208112877,0.6511627906976745,0.2489551318058976,False
Portugal,0.3049931129106884,1,4.458729383200032,3,0.10714285714285714,0.0,0.49122807017543857,0.0301729159017082,False
Brazil,0.77347395693949,3,7.69666618328484,6,0.21428571428571427,0.1984126984126984,0.5185185185185185,0.030632131131937055,False
Poland,0.4678899705735322,2,2.626768827352893,3,0.10714285714285714,0.0,0.35443037974683544,0.002406535181432743,False
Italy,3.2304225339988184,12,19.83899749560388,4,0.14285714285714285,0.0038359788359788355,0.4375,0.05266068037872978,False
Argentina,2.688256815737618,9,92.80771098359544,15,0.5357142857142857,0.0025793650793650793,0.6363636363636364,0.24886015714110593,False
Ukraine,1.4435184499995364,5,0.0,0,0.0,0.0,0.0,0.0,True
Korea (ROK),1.179293240660585,6,4.65370698633369,2,0.07142857142857142,0.0,0.4117647058823529,0.0203821809506418,False
Uruguay,0.1667583097229783,1,4.421762711507101,1,0.03571428571428571,0.0,0.4117647058823529,0.017416157838670374,False
Romania,0.35903329775821113,2,0.0,0,0.0,0.0,0.0,0.0,True
India,1.4956763051849735,7,13.93530317070396,3,0.10714285714285714,0.0,0.4375,0.050716011036564194,False
Russian Federation,2.827490499651494,11,66.20433549705825,15,0.5357142857142857,0.016534391534391537,0.6363636363636364,0.24295847802393944,False
IUCN,0.8352416461830736,4,0.0,0,0.0,0.0,0.0,0.0,True
WMO,0.167071812325143,1,0.0,0,0.0,0.0,0.0,0.0,True
South Africa,0.9775258086260556,4,31.382480729604268,7,0.25,0.0010582010582010583,0.5,0.10980446422594678,False
Türkiye,0.7806792023665903,2,11.92074369681132,2,0.07142857142857142,0.0,0.45901639344262296,0.03524779880429911,False
France,1.2941749022142397,6,55.450236795093915,16,0.5714285714285714,0.015388007054673719,0.6511627906976745,0.2516915898937675,False
Monaco,0.2380351771621095,1,13.70910125858504,5,0.17857142857142855,0.0,0.4827586206896552,0.07829653278392111,False
China,3.0989544892422414,12,78.55205877256752,17,0.6071428571428571,0.10088183421516758,0.6666666666666666,0.24760153328340603,False
Japan,0.1912756050155818,1,51.23422705849536,14,0.5,0.0,0.6222222222222222,0.23973465483871487,False
Belarus,0.161980339533258,1,0.0,0,0.0,0.0,0.0,0.0,True
Ecuador,0.2248124793464034,1,2.1406138448986356,3,0.10714285714285714,0.0,0.35443037974683544,0.002406535181432743,False
Peru,0.2248124793464034,1,2.1406138448986356,3,0.10714285714285714,0.0,0.35443037974683544,0.002406535181432743,False
COMNAP,0.222144053263891,1,0.0,0,0.0,0.0,0.0,0.0,True
ATS,0.2737276460699054,1,0.0,0,0.0,0.0,0.0,0.0,True
